date,circulating_usd
1678147200,43288611943
1678233600,43227648530
1678320000,43197203559
1678406400,43176044700
1678492800,42200261242
1678579200,40661099587
1678665600,40468620896
1678752000,39082309637
1678838400,38107230325
1678924800,37201853852
1679011200,36625309641
1679097600,35900827555
