symbol,timestamp,price
DAI,1678233352,1.001
DAI,1678237251,1.001
DAI,1678240864,0.999664
DAI,1678244462,0.999743
DAI,1678248036,1.0
DAI,1678251667,1.0
DAI,1678255260,0.998627
DAI,1678258545,0.999845
DAI,1678262448,1.001
DAI,1678266042,0.999592
DAI,1678269645,1.0
DAI,1678273236,1.0
DAI,1678276824,1.0
DAI,1678280141,0.999344
DAI,1678283736,1.0
DAI,1678287647,1.0
DAI,1678291249,1.0
DAI,1678294870,0.999823
DAI,1678298448,1.0
DAI,1678302073,1.0
DAI,1678305660,1.0
DAI,1678309230,1.001
DAI,1678312880,0.999367
DAI,1678316133,1.001
DAI,1678320075,0.999937
DAI,1678323641,0.99943
DAI,1678327264,0.99993
DAI,1678330829,0.999492
DAI,1678334438,0.999676
DAI,1678338044,0.99972
DAI,1678341658,0.999613
DAI,1678345256,1.001
DAI,1678348846,1.0
DAI,1678352473,0.999752
DAI,1678356066,1.000320738936916
DAI,1678359660,0.999898
DAI,1678363265,1.001
DAI,1678366851,0.999848
DAI,1678370458,0.999956
DAI,1678374057,1.001
DAI,1678377638,0.999031
DAI,1678381250,0.998588
DAI,1678384877,1.0000390320872157
DAI,1678388472,1.001
DAI,1678392041,1.002
DAI,1678395667,0.9937396996654513
DAI,1678399275,1.000596406566045
DAI,1678402825,0.999883
DAI,1678406443,0.999331
DAI,1678410071,1.001
DAI,1678413666,0.997546
DAI,1678417257,0.999441
DAI,1678420866,1.001
DAI,1678424461,0.9990844116355342
DAI,1678428044,0.999543
DAI,1678431643,1.001
DAI,1678435241,0.999761
DAI,1678438838,1.0
DAI,1678442476,1.001
DAI,1678446061,0.997296
DAI,1678449656,1.001
DAI,1678453287,1.001
DAI,1678456849,0.995126
DAI,1678460136,0.999081
DAI,1678464068,0.99962
DAI,1678467651,0.99806
DAI,1678471238,1.003
DAI,1678474856,0.999326
DAI,1678478453,0.999032
DAI,1678482056,0.998964
DAI,1678485679,1.001
DAI,1678489262,0.996707
DAI,1678492853,0.995431
DAI,1678496454,0.993698
DAI,1678500045,0.985443
DAI,1678503649,0.986754
DAI,1678507280,0.952759
DAI,1678510518,0.948531
DAI,1678514457,0.945908
DAI,1678518061,0.920816
DAI,1678521693,0.885938
