open_time,low,high,open,close,volume
1678233600,0.99985,1.00001,1.0,0.99987,3359750.69
1678237200,0.99984,0.99992,0.99987,0.9999,1233767.89
1678240800,0.99954,0.99995,0.99991,0.99987,1492601.7
1678244400,0.9996,0.99992,0.99988,0.99986,1946335.26
1678248000,0.999,1.00001,0.99986,0.99991,2842479.94
1678251600,0.99988,1.00001,0.9999,0.99994,2485405.94
1678255200,0.99988,0.99996,0.99993,0.99988,1780827.62
1678258800,0.99986,1.0,0.99989,0.99997,1967413.67
1678262400,0.99997,0.99998,0.99997,0.99997,1827704.89
1678266000,0.9999,0.99998,0.99997,0.99992,1635809.65
1678269600,0.9999,0.99996,0.99992,0.99992,1755337.06
1678273200,0.99981,0.99992,0.99991,0.99989,1389751.73
1678276800,0.99989,0.99996,0.99989,0.99996,1218860.17
1678280400,0.9998,0.99998,0.99997,0.99996,3103169.65
1678284000,0.99981,0.99997,0.99996,0.99993,3021911.4
1678287600,0.99973,0.99993,0.99993,0.9999,4745529.81
1678291200,0.99978,1.0,0.99991,0.99992,2621870.16
1678294800,0.9998,0.99996,0.99992,0.9999,2458212.08
1678298400,0.9998,0.99995,0.9999,0.99994,4419993.35
1678302000,0.99978,0.99998,0.99994,0.99994,4161012.33
1678305600,0.99982,1.0,0.99993,0.99986,5081179.08
1678309200,0.99959,0.99991,0.99986,0.99987,5119946.27
1678312800,0.99968,1.0,0.99986,1.0,6511088.43
1678316400,0.99978,1.0,1.0,0.99983,6598519.41
1678320000,0.99908,0.99988,0.99982,0.99984,4911277.54
1678323600,0.99978,0.9999,0.99983,0.99989,2687334.79
1678327200,0.99982,0.99992,0.9999,0.99992,2610626.43
1678330800,0.99985,0.99994,0.99991,0.99993,3883203.65
1678334400,0.99983,0.99993,0.99993,0.99991,5614165.28
1678338000,0.99984,0.99992,0.99991,0.9999,4144503.11
1678341600,0.99982,0.99991,0.9999,0.9999,4135036.83
1678345200,0.99981,0.99992,0.9999,0.99982,4969176.29
1678348800,0.99971,0.99993,0.99982,0.99981,6670612.34
1678352400,0.9997,0.99985,0.99981,0.99982,3941484.57
1678356000,0.99967,0.99982,0.99981,0.99979,5268875.01
1678359600,0.99937,0.99982,0.99979,0.99967,6432297.69
1678363200,0.99967,0.99971,0.99968,0.99971,6147720.55
1678366800,0.99925,0.99975,0.9997,0.99958,8112602.33
1678370400,0.99958,1.0,0.99958,0.99984,8636407.4
1678374000,0.99963,0.99985,0.99984,0.99974,6125025.58
1678377600,0.9997,0.99991,0.99974,0.99975,8207644.12
1678381200,0.99968,0.99985,0.99975,0.99971,6555383.9
1678384800,0.99968,1.0,0.99972,0.99969,12103696.83
1678388400,0.99966,0.9998,0.99969,0.99979,9120516.7
1678392000,0.99971,1.00001,0.99979,0.99998,16733263.93
1678395600,0.99988,1.00128,0.99999,1.0,18653529.1
1678399200,0.9999,1.00038,0.99999,1.00015,9588640.22
1678402800,0.99988,1.00016,1.00015,1.00001,9100503.24
1678406400,0.99993,1.00021,1.0,1.00021,6049121.37
1678410000,0.9999,1.00044,1.0002,0.99996,3348172.14
1678413600,0.99992,1.00002,0.99995,0.99999,1397334.27
1678417200,0.99994,1.00007,0.99998,0.99994,1557373.97
1678420800,0.99991,1.00002,0.99995,1.00001,1228920.35
1678424400,0.99985,1.00009,1.00002,1.00003,1871142.55
1678428000,0.99992,1.00003,1.00002,0.99998,2843224.21
1678431600,0.99991,1.00012,0.99998,0.99992,3998169.65
1678435200,0.9999,1.00009,0.99991,0.99993,2658995.64
1678438800,0.99992,0.99993,0.99993,0.99993,1406091.41
1678442400,0.99992,1.0,0.99993,0.99996,3816219.08
1678446000,0.99996,1.0,0.99996,0.99998,2492003.93
1678449600,0.9998,1.0,0.99998,0.99998,3367879.61
1678453200,0.99986,1.00001,0.99997,1.0,8316961.29
1678456800,0.99994,1.00008,1.0,0.99999,6335518.0
1678460400,0.99996,1.00009,0.99999,1.00003,9469488.33
1678464000,1.0,1.00005,1.00003,1.00004,5552582.25
1678467600,0.99999,1.00005,1.00004,0.99999,5733741.94
1678471200,0.99999,1.00001,0.99999,1.0,6825772.52
1678474800,0.99999,1.00024,1.0,1.00019,12949123.23
1678478400,0.99999,1.00052,1.0002,1.00029,26366313.13
1678482000,1.00021,1.00206,1.00029,1.00132,19637310.66
1678485600,1.00131,1.00452,1.00131,1.00357,6566177.21
1678489200,1.00348,1.00554,1.00356,1.00426,7317282.97
1678492800,1.00345,1.0076,1.00426,1.00688,13607230.94
1678496400,1.00688,1.01911,1.00688,1.01299,25732089.16
1678500000,1.00494,1.02659,1.01299,1.0122,38494388.13
1678503600,1.00327,1.0125,1.0122,1.00794,22712272.1
1678507200,1.00296,1.00858,1.00794,1.00374,10204000.87
1678510800,1.00314,1.0049,1.00374,1.00466,8505204.15
1678514400,1.001,1.00685,1.00466,1.00685,8714718.07
1678518000,1.00482,1.00781,1.00686,1.00599,5121107.94
1678521600,1.00368,1.00671,1.00604,1.00497,2720238.73
1678525200,1.00406,1.00557,1.00497,1.00503,1666638.11
1678528800,1.00362,1.00569,1.005,1.0055,2919349.41
1678532400,1.00459,1.00616,1.0055,1.00542,1580099.77
1678536000,1.00461,1.00649,1.00542,1.0051,1942045.41
1678539600,1.004,1.00632,1.00504,1.00579,1674592.39
1678543200,1.00101,1.00701,1.00588,1.00681,2860106.25
1678546800,1.0064,1.00913,1.00682,1.00861,4179819.1
1678550400,1.00793,1.01149,1.00861,1.0107,4501105.68
1678554000,1.0088,1.01149,1.01071,1.01001,4007964.61
1678557600,1.01,1.01258,1.01,1.01178,2923216.53
1678561200,1.005,1.01241,1.01179,1.01135,11528819.56
1678564800,1.005,1.01135,1.01135,1.00928,3910020.86
1678568400,1.0068,1.00929,1.00928,1.00739,2591871.56
1678572000,1.005,1.0089,1.00739,1.00773,5537308.34
1678575600,1.00743,1.0082,1.00773,1.00769,2728981.26
1678579200,1.00699,1.00814,1.00769,1.00813,4896252.11
1678582800,1.00813,1.00841,1.00813,1.0084,1640324.32
1678586400,1.007,1.00919,1.0084,1.00912,2553122.3
1678590000,1.00911,1.01,1.00912,1.00998,1578473.37
1678593600,1.00992,1.0102,1.00999,1.01019,2413966.08
1678597200,1.01019,1.0137,1.0102,1.01201,2175837.25
1678600800,1.01065,1.01302,1.01201,1.01071,1333509.87
1678604400,1.00518,1.01073,1.01073,1.00887,5273181.66
1678608000,1.00507,1.00901,1.00887,1.00854,2431443.98
1678611600,1.00605,1.0087,1.00857,1.00751,3429151.6
1678615200,1.00502,1.00751,1.0075,1.00728,2623999.17
1678618800,1.00603,1.00738,1.00729,1.00686,2323359.34
1678622400,1.00664,1.00802,1.00685,1.00784,1486363.3
1678626000,1.00739,1.00938,1.00784,1.0091,1516649.65
1678629600,1.00887,1.01183,1.009,1.01156,1305120.75
1678633200,1.01118,1.01252,1.01156,1.01177,1944302.83
1678636800,1.00836,1.01239,1.0117,1.01129,2033383.53
1678640400,1.00802,1.01132,1.01129,1.01131,3140300.7
1678644000,1.01104,1.0163,1.0113,1.01497,7584723.42
1678647600,1.01379,1.01685,1.01498,1.01434,3221184.33
1678651200,1.01167,1.01594,1.01433,1.0118,6741675.27
1678654800,1.00947,1.01285,1.01186,1.01022,1960524.92
1678658400,1.005,1.01233,1.01022,1.00822,14480379.07
1678662000,1.00609,1.01039,1.00817,1.00782,9331977.8
1678665600,1.00768,1.012,1.00776,1.00885,10667102.84
1678669200,1.0072,1.00957,1.00884,1.00773,6589682.36
1678672800,1.005,1.00896,1.00758,1.00569,5156069.6
1678676400,1.00404,1.00593,1.00568,1.00428,3695703.31
