symbol,window,timestamp,price
BUSD,calm,1677049210,1.0009006685847994
BUSD,calm,1677052675,1.001
BUSD,calm,1677056425,1.0014701762640905
BUSD,calm,1677060080,0.999289494728723
BUSD,calm,1677063479,0.997357
BUSD,calm,1677067238,1.0017416168593267
BUSD,calm,1677070820,0.9994751816359704
BUSD,calm,1677074277,1.001
BUSD,calm,1677078168,1.001
BUSD,calm,1677081478,0.999211
BUSD,calm,1677085319,1.0018256054975683
BUSD,calm,1677088676,1.0
BUSD,calm,1677092279,1.001
BUSD,calm,1677095878,0.998312
BUSD,calm,1677099480,0.999939
BUSD,calm,1677103317,0.9990925999097243
BUSD,calm,1677106680,1.003
BUSD,calm,1677110277,1.0
BUSD,calm,1677113874,0.999817
BUSD,calm,1677117470,1.002
BUSD,calm,1677121079,1.008
BUSD,calm,1677124663,1.001
BUSD,calm,1677128278,1.0
BUSD,calm,1677131865,0.999567
BUSD,calm,1677135479,1.0
BUSD,calm,1677139058,0.999068
BUSD,calm,1677142673,1.0
BUSD,calm,1677146271,0.999314
BUSD,calm,1677149867,1.0
BUSD,calm,1677153470,1.003
BUSD,calm,1677157067,1.001
BUSD,calm,1677160666,1.001
BUSD,calm,1677164524,1.0014227443102783
BUSD,calm,1677168122,1.0006412132447373
BUSD,calm,1677171474,1.0
BUSD,calm,1677175320,0.9979702477707821
BUSD,calm,1677178974,1.001
BUSD,calm,1677182280,0.998961
BUSD,calm,1677186106,0.9991775323994251
BUSD,calm,1677189704,0.999805521184214
BUSD,calm,1677193078,1.0
BUSD,calm,1677196679,1.002
BUSD,calm,1677200262,0.999146
BUSD,calm,1677204126,1.0004212778004267
BUSD,calm,1677207476,0.999575
BUSD,calm,1677211296,1.0006363490535517
BUSD,calm,1677214907,1.0000868340938063
BUSD,calm,1677218515,1.000170460503784
BUSD,calm,1677221873,1.001
BUSD,calm,1677225476,1.002
BUSD,calm,1677229077,0.999905
BUSD,calm,1677232678,1.0
BUSD,calm,1677236516,1.0004644624092285
BUSD,calm,1677239873,1.0
BUSD,calm,1677243480,0.998016
BUSD,calm,1677247075,0.99961
BUSD,calm,1677250878,0.999775045628929
BUSD,calm,1677254275,1.0
BUSD,calm,1677258011,1.0007038354651117
BUSD,calm,1677261640,1.002255324036088
BUSD,calm,1677265076,1.002
BUSD,calm,1677268851,1.0022485504984655
BUSD,calm,1677272425,1.0012939990035437
BUSD,calm,1677275877,1.001
BUSD,calm,1677279600,1.002394374697241
BUSD,calm,1677283276,1.0004741084833246
