hour_utc,open,high,low,close,vwap,volume,n_trades
2019-04-20T00:00:00Z,1.0033,1.005,1.003,1.0045,1.0042827128216674,333780.68117494,393.0
2019-04-20T01:00:00Z,1.004,1.0048,1.004,1.0045,1.0045242098241227,11443.47968349,23.0
2019-04-20T02:00:00Z,1.0043,1.0045,1.0042,1.0042,1.0044901508084412,12563.481406809999,14.0
2019-04-20T03:00:00Z,1.0044,1.0044,1.0042,1.0042,1.0043964185459846,6322.06691825,11.0
2019-04-20T04:00:00Z,1.0042,1.0042,1.0041,1.0041,1.0041877446447898,409.93435497,4.0
2019-04-20T05:00:00Z,1.0041,1.0041,1.0041,1.0041,1.0040999999999998,1307.4824194700002,6.0
2019-04-20T06:00:00Z,1.0044,1.0044,1.0044,1.0044,1.0044,1500.0,1.0
2019-04-20T07:00:00Z,1.0042,1.0044,1.0041,1.0044,1.00436160858418,10531.0,8.0
2019-04-20T08:00:00Z,1.0044,1.0044,1.0037,1.0037,1.0038889105147006,9849.65645064,31.0
2019-04-20T09:00:00Z,1.0037,1.0037,1.0035,1.0035,1.0035219426059778,25555.10918825,33.0
2019-04-20T10:00:00Z,1.0035,1.0035,1.0035,1.0035,1.0035,74821.18938927,95.0
2019-04-20T11:00:00Z,1.0035,1.0035,1.0034,1.0035,1.003499702302427,32673.713835820003,23.0
2019-04-20T12:00:00Z,1.0035,1.0038,1.003,1.003,1.0035903108456175,78452.80012242001,38.0
2019-04-20T13:00:00Z,1.0033,1.0033,1.0033,1.0033,1.0033,2525.1585659300003,8.0
2019-04-20T14:00:00Z,1.0033,1.0033,1.003,1.0033,1.0032631527223532,5947.72891733,19.0
2019-04-20T15:00:00Z,1.0033,1.0033,1.0029,1.003,1.0032235902661328,53953.66914828001,39.0
2019-04-20T16:00:00Z,1.0029,1.0031,1.0027,1.0031,1.0028624058690414,24150.091930769995,35.0
2019-04-20T17:00:00Z,1.003,1.0031,1.003,1.003,1.003085152645433,100936.68900617001,13.0
2019-04-20T18:00:00Z,1.003,1.003,1.0029,1.0029,1.002998845169971,9308.773702659999,17.0
2019-04-20T19:00:00Z,1.0029,1.0032,1.0029,1.0031,1.003000633490422,204634.29689127,42.0
2019-04-20T20:00:00Z,1.0031,1.0033,1.003,1.0033,1.0032000645041075,53304.233338570004,52.0
2019-04-20T21:00:00Z,1.0033,1.0033,1.0021,1.0032,1.0027863892552848,207964.97002292,265.0
2019-04-20T22:00:00Z,1.0032,1.0032,1.0027,1.003,1.0029830136518698,57428.740887629996,28.0
2019-04-20T23:00:00Z,1.0031,1.0031,1.0031,1.0031,1.0031,8250.4839383,13.0
2019-04-21T00:00:00Z,1.0031,1.0031,1.0028,1.0031,1.0030127208092565,138812.92256191,41.0
2019-04-21T01:00:00Z,1.0031,1.0034,1.003,1.0034,1.003167462839515,16511.41774507,37.0
2019-04-21T02:00:00Z,1.0032,1.0034,1.0031,1.0033,1.0031797621352305,214201.56359414,43.0
2019-04-21T03:00:00Z,1.0034,1.0034,1.003,1.0034,1.0033877687454786,2978.23906258,16.0
2019-04-21T04:00:00Z,1.0034,1.0034,1.0034,1.0034,1.0034,11354.66089482,38.0
2019-04-21T05:00:00Z,1.0034,1.0034,1.0033,1.0033,1.0033893798176565,12212.788146300001,48.0
2019-04-21T06:00:00Z,1.0034,1.0034,1.0031,1.0034,1.003399452969151,13782.878990019999,37.0
2019-04-21T07:00:00Z,1.0034,1.0034,1.003,1.0034,1.0033108172308198,23993.301496219996,58.0
2019-04-21T08:00:00Z,1.0034,1.0035,1.003,1.0034,1.003294691202104,94067.38859240999,198.0
2019-04-21T09:00:00Z,1.0034,1.0041,1.0031,1.0041,1.0035814820548579,316148.26102483005,545.0
2019-04-21T10:00:00Z,1.0041,1.0048,1.004,1.0048,1.004383160945584,212733.28948437,283.0
2019-04-21T11:00:00Z,1.0048,1.0051,1.0046,1.0051,1.0049529468172045,68914.00586053,167.0
2019-04-21T12:00:00Z,1.0051,1.0054,1.005,1.0053,1.0052232759458688,137455.93648843,271.0
2019-04-21T13:00:00Z,1.0053,1.0053,1.0042,1.0043,1.0046991186390768,91798.67359677001,211.0
2019-04-21T14:00:00Z,1.0043,1.0047,1.0039,1.0044,1.0043390264357974,113923.42723831,147.0
2019-04-21T15:00:00Z,1.0044,1.0045,1.0043,1.0045,1.0044036293665577,132123.15430174998,121.0
2019-04-21T16:00:00Z,1.0044,1.0045,1.0044,1.0045,1.004499565395119,40271.342619689996,133.0
2019-04-21T17:00:00Z,1.0045,1.0045,1.0041,1.0043,1.004334861939662,104981.17404853,135.0
2019-04-21T18:00:00Z,1.0041,1.0044,1.0041,1.0043,1.0043028802026142,62274.31890442,181.0
2019-04-21T19:00:00Z,1.0042,1.0043,1.0042,1.0043,1.0042996185020447,23328.71962616,72.0
2019-04-21T20:00:00Z,1.0043,1.0043,1.0041,1.0042,1.0042937529677305,21065.40741636,81.0
2019-04-21T21:00:00Z,1.0043,1.0043,1.0042,1.0042,1.0042246815531566,105459.58947997,104.0
